g,d.parameters.campaign,d.parameters.locationSurrounding,d.parameters.team,d.parameters.motive,d.parameters.targetGroup,d.coordinates._latitude,d.coordinates._longitude,d.deletedAt._seconds,d.deletedAt._nanoseconds,d.createdBy,d.uuid,d.createdAt._seconds,d.createdAt._nanoseconds,d.location._latitude,d.location._longitude,d.removedBy,d.updatedAt._seconds,d.updatedAt._nanoseconds,d.updatedBy,d.state,l._latitude,l._longitude,d.deletedBy,campaign
u1wbxq8usv,Bürgerschaftswahl Hamburg 2020,"['Wohnen', 'Einkaufen', 'Durchgangsstrasse']",Team West,Lina,"['Fußgänger', 'Radfahrer', 'Autofahrer']",53.56189615365825,9.812026340514421,1582969048.0,456000000.0,OFdUjpbNLXZoeRPWB5YjxRxjzRH3,0003689d-55fa-4929-83a2-c10a3f332913,1580044678,279000000,53.56189615365825,9.812026340514421,OFdUjpbNLXZoeRPWB5YjxRxjzRH3,1580044678,280000000,OFdUjpbNLXZoeRPWB5YjxRxjzRH3,removed,53.56189615365825,9.812026340514421,,Bürgerschaftswahl Hamburg 2020
u284phpwud,Kommunalwahl München 2020,,,,,48.18720554899805,11.568115185946226,1584640057.0,136000000.0,ihPzNAGmQdatZW7rFD8q3cNubuS2,0011d3f6-0b65-478b-85db-86eeaafffae6,1580056006,182000000,48.18720554899805,11.568115185946226,qk3RwE5WEUNbPk85eTf18Lu4JY32,1580056006,182000000,ihPzNAGmQdatZW7rFD8q3cNubuS2,removed,48.18720554899805,11.568115185946226,,Kommunalwahl München 2020
u281zdht22,,['Strasse'],,Umwelt + Wohnen,"['Autofahrer', 'Fußgänger', 'Radfahrer']",48.132008060244516,11.58578323200345,,,psfZAjTSV5Stlfwj4Og2ihxSVqn1,0037d687-9395-446a-b0e1-576c825f88b0,1578829812,697000000,,,,1578829812,698000000,psfZAjTSV5Stlfwj4Og2ihxSVqn1,active,48.132008060244516,11.58578323200345,,nan
u1x0ebphc5,Bürgerschaftswahl Hamburg,,,Hafen + Wohnen,,53.52622279875382,10.018205735832453,1582980698.0,978000000.0,vRs7bqLgbaZOrY9viLatNAzZrgD2,00451eed-aa9d-4da6-9ca1-3bc18ff18c18,1579958449,348000000,53.52622279875382,10.018205735832453,NISiXJvou2OIg0ygvLTQni8z6Gm1,1579958449,348000000,vRs7bqLgbaZOrY9viLatNAzZrgD2,removed,53.52622279875382,10.018205735832453,,Bürgerschaftswahl Hamburg
u284hyjp09,Kommunalwahl München 2020,['Wohnen'],Team Dachau,Mobilität + Umwelt,"['Radfahrer', 'Fußgänger']",48.19823088500249,11.46563870832324,1584807740.0,182000000.0,RwRvY0PtsoYOgcf3a7xxHfrV7YA3,004af168-70ab-4db1-8aa9-5148bedd1173,1582474831,796000000,48.19823088500249,11.46563870832324,HgM385Ff84YmItF4qjVY8OGvuih2,1582474831,797000000,RwRvY0PtsoYOgcf3a7xxHfrV7YA3,removed,48.19823088500249,11.46563870832324,,Kommunalwahl München 2020
u283bxb30p,['Kommunalwahl München 2020'],,['Martina '],Mobilität + Umwelt,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.1628984895805,11.623879987746477,1583072964.0,838000000.0,FZVf6u09zQYx9Q7qEvLowFuTaNJ3,0067a9e3-7516-4fe8-b0af-61830fca2b93,1578148852,222000000,48.1628984895805,11.623879987746477,OZZUbaCHqTSvXyqQam2w1OkZZT53,1578148852,356000000,FZVf6u09zQYx9Q7qEvLowFuTaNJ3,removed,48.1628984895805,11.623879987746477,,Kommunalwahl München 2020
u281wfn44s,,"['Straßenbahn ', 'Essen', 'Wohnen', 'Straße']",,Wohnen + E-Behörden,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.08752442123773,11.55497806146741,,,MXnc2ii9M8MA1GjBtapzdaBwUff2,007a211a-4f6c-46f1-b77d-01e1f0fdf0d5,1578675121,204000000,,,,1578675121,204000000,MXnc2ii9M8MA1GjBtapzdaBwUff2,active,48.08752442123773,11.55497806146741,,nan
u281wxg8g7,Kommunalwahl München 2020,,Team Felix S.,Wohnen + E-Behörden,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.11889065288089,11.540591698139906,,,WXScAn7vj5Rwikf3JuMRQbZ6HQK2,007eda8f-4640-4784-98ad-c3f5a25fd578,1578561196,549000000,,,,1578561196,550000000,WXScAn7vj5Rwikf3JuMRQbZ6HQK2,active,48.11889065288089,11.540591698139906,,Kommunalwahl München 2020
u284hv69be,Kommunalwahl München 2020,['Straße'],,Mobilität + Umwelt,"['Fußgänger', 'Autofahrer', 'Radfahrer']",48.19322227000042,11.462201122194529,,,jN38LSISX0WzWz1ofgRho88c3J52,00840835-14ba-4f4f-b8ef-611b623a38c0,1582990228,952000000,,,,1582990228,952000000,jN38LSISX0WzWz1ofgRho88c3J52,active,48.19322227000042,11.462201122194529,,Kommunalwahl München 2020
u1x0e5bckc,Bürgerschaftswahl Hamburg,"['Straße', 'Wohnen', 'Einkaufen', 'U-Bahn', 'S-Bahn']",,Verkehr + Verkehr,"['Autofahrer', 'Fußgänger', 'Radfahrer']",53.5462135461343,9.976821932941675,1582968440.0,713000000.0,PBGwt00TpcVaLoMXkwLAyWGPGnc2,0089a1a5-0f1b-4a4c-b2d9-c7b4133919f6,1579891496,391000000,53.5462135461343,9.976821932941675,PBGwt00TpcVaLoMXkwLAyWGPGnc2,1579891496,391000000,PBGwt00TpcVaLoMXkwLAyWGPGnc2,removed,53.5462135461343,9.976821932941675,,Bürgerschaftswahl Hamburg
